price,address,bds,ba,sqft,image
"$175,500","1193 Maple St SE, Conyers, GA 30013",3,2,"1,816","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$300,000","2051 Irwin Bridge Rd NW, Conyers, GA 30012",4,4,"4,120","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$137,000","1608 Picadilly Ct NE, Conyers, GA 30013",3,2,"1,500","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$146,000","3292 Old Salem Rd SE, Conyers, GA 30013",3,2,"1,883","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$237,000","1310 N Brandy Shls SE, Conyers, GA 30013",4,4,"3,142","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$138,000","1712 Sigman East Dr NW, Conyers, GA 30012",3,2,"1,249","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$389,800","316 Dovehouse St #44, Mcdonough, GA 30252",5,5,--,https://photos.zillowstatic.com/p_e/IS3fwp17zrtlo60000000000.jpg
"$157,000","600 Kingston Ln NW, Conyers, GA 30012",3,2,"21,218",https://photos.zillowstatic.com/p_e/ISb5m5e0ff545y0000000000.jpg
"$245,334","2342 Annes Lake Cir #23, Lithonia, GA 30058",3,3,"2,125",https://photos.zillowstatic.com/p_e/ISb1zomo8mpi1u1000000000.jpg
"$277,850","7719 Hansel Ln, Lithonia, GA 30058",4,3,"2,544",https://photos.zillowstatic.com/p_e/ISjbckutxw7xe40000000000.jpg
"$165,000","1361 Stoneleigh Dr, Conyers, GA 30094",3,2,"1,674",https://photos.zillowstatic.com/p_e/ISrxene12tu30y0000000000.jpg
"$160,000","900 Sage Ln NW, Conyers, GA 30012",3,2,"2,206",https://photos.zillowstatic.com/p_e/ISzzhh0qeo6eop1000000000.jpg
"$429,900","3206 Letha Woods Dr #75, Conyers, GA 30094",5,4,--,N/A
"$300,000","2123 Farmdale Ct, Conyers, GA 30012",5,3,"2,775",https://photos.zillowstatic.com/p_e/IS3jjuvomo740w1000000000.jpg
"$89,900","1744 Ridge Ct SE, Loganville, GA 30013",2,2.5,"1,170",https://photos.zillowstatic.com/p_e/IS7ua2uf2jhy280000000000.jpg
"$309,000","1741 Carissa Dr #48, Conyers, GA 30094",5,3,"3,238","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$298,000","2827 Highway 20 NE, Conyers, GA 30012",5,3,"3,100","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
