price,beds,baths,square_feet,Cherokee,Clayton,Cobb,DeKalb,Douglas,Fayette,Fulton,Gwinnett,Henry,Rockdale
446500.0,4.0,4.0,2994.0,0,0,1,0,0,0,0,0,0,0
230000.0,4.0,3.0,1752.0,0,0,1,0,0,0,0,0,0,0
369500.0,5.0,3.0,3512.0,0,0,1,0,0,0,0,0,0,0
78000.0,3.0,3.0,1364.0,0,0,1,0,0,0,0,0,0,0
318000.0,4.0,3.0,2251.0,0,0,1,0,0,0,0,0,0,0
230000.0,3.0,3.0,2404.0,0,0,1,0,0,0,0,0,0,0
295000.0,4.0,3.0,2554.0,0,0,1,0,0,0,0,0,0,0
278000.0,4.0,3.0,2692.0,0,0,1,0,0,0,0,0,0,0
374000.0,4.0,4.0,2800.0,0,0,1,0,0,0,0,0,0,0
179000.0,3.0,2.0,1308.0,0,0,1,0,0,0,0,0,0,0
175000.0,3.0,2.0,1260.0,0,0,1,0,0,0,0,0,0,0
182000.0,2.0,2.0,1316.0,0,0,1,0,0,0,0,0,0,0
787374.0,4.0,4.0,5403.0,0,0,1,0,0,0,0,0,0,0
316000.0,4.0,3.0,3049.0,0,0,1,0,0,0,0,0,0,0
160000.0,3.0,2.0,1284.0,0,0,1,0,0,0,0,0,0,0
384900.0,5.0,4.0,3651.0,0,0,1,0,0,0,0,0,0,0
255000.0,4.0,4.0,2031.0,0,0,1,0,0,0,0,0,0,0
149380.0,4.0,4.0,3348.0,0,0,1,0,0,0,0,0,0,0
298000.0,5.0,4.0,3700.0,0,0,1,0,0,0,0,0,0,0
266000.0,3.0,3.0,1964.0,0,0,1,0,0,0,0,0,0,0
165000.0,3.0,2.0,1056.0,0,0,1,0,0,0,0,0,0,0
387500.0,3.0,2.0,2230.0,0,0,1,0,0,0,0,0,0,0
370000.0,5.0,4.0,3285.0,0,0,1,0,0,0,0,0,0,0
230000.0,3.0,2.0,1450.0,0,0,1,0,0,0,0,0,0,0
205000.0,4.0,2.0,2050.0,0,0,1,0,0,0,0,0,0,0
277500.0,4.0,3.0,2420.0,0,0,1,0,0,0,0,0,0,0
199000.0,3.0,2.0,1627.0,0,0,1,0,0,0,0,0,0,0
189900.0,3.0,2.0,2468.0,0,0,1,0,0,0,0,0,0,0
169000.0,3.0,2.0,1320.0,0,0,1,0,0,0,0,0,0,0
230000.0,3.0,4.0,2301.0,0,0,1,0,0,0,0,0,0,0
1230000.0,5.0,6.0,9562.0,0,0,1,0,0,0,0,0,0,0
372000.0,4.0,4.0,2800.0,0,0,1,0,0,0,0,0,0,0
245000.0,4.0,4.0,2522.0,0,0,1,0,0,0,0,0,0,0
263000.0,5.0,3.0,1993.0,0,0,1,0,0,0,0,0,0,0
335000.0,5.0,3.0,3002.0,0,0,1,0,0,0,0,0,0,0
232000.0,3.0,2.0,1680.0,0,0,1,0,0,0,0,0,0,0
410320.0,4.0,3.0,3145.0,0,0,1,0,0,0,0,0,0,0
350000.0,3.0,2.0,1974.0,0,0,1,0,0,0,0,0,0,0
372000.0,4.0,4.0,2800.0,0,0,1,0,0,0,0,0,0,0
193000.0,3.0,2.0,2238.0,0,0,1,0,0,0,0,0,0,0
249900.0,3.0,3.0,1617.0,0,0,1,0,0,0,0,0,0,0
228500.0,3.0,2.0,1674.0,0,0,1,0,0,0,0,0,0,0
391000.0,5.0,4.0,3051.0,0,0,1,0,0,0,0,0,0,0
391000.0,5.0,4.0,3051.0,0,0,1,0,0,0,0,0,0,0
655000.0,5.0,4.0,4450.0,0,0,1,0,0,0,0,0,0,0
