price,address,bds,ba,sqft,image
"$237,500","3361 Mills Ridge Dr, Canton, GA 30114",3,3,"1,800","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$295,000","524 Crestmont Ln, Canton, GA 30114",4,3,"2,518","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$515,000","2306 Isla Run, Woodstock, GA 30188",5,5,"4,020","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$228,000","190 Townview Dr, Woodstock, GA 30189",3,3,"1,786","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$839,000","1206 N Lake Dr, Canton, GA 30115",6,5,"8,967","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$340,000","752 Parkside Dr, Woodstock, GA 30188",4,3,"2,938","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$279,900","416 Marion Spence Rd, Ball Ground, GA 30107",3,3,"2,173",https://photos.zillowstatic.com/p_e/ISfojfwb4sguxr1000000000.jpg
"$330,990","226 Gallant Fox Way #5, Acworth, GA 30102",4,4,"2,908",https://photos.zillowstatic.com/p_e/IS3f8fxt9t29ss1000000000.jpg
"$330,990","226 Gallant Fox Way, Acworth, GA 30102",4,4,"2,908",https://photos.zillowstatic.com/p_e/ISjrwecdk3z1qo1000000000.jpg
"$385,000","501 Millside Trl, Canton, GA 30114",4,4,"3,027",https://photos.zillowstatic.com/p_e/IS7u2kmjnffvjs0000000000.jpg
"$528,000","106 Royal Oaks Dr, Canton, GA 30115",5,4,"2,986",https://photos.zillowstatic.com/p_e/ISzz9r6vrny8wk1000000000.jpg
"$589,900","216 Mcaffee St, Woodstock, GA 30188",4,4,"3,130",https://photos.zillowstatic.com/p_e/ISbxvfmip5x6jv0000000000.jpg
"$176,000","25-25 Highoak Driv 25 Highoak Dr #11, Marietta, GA 30066",3,3,--,https://photos.zillowstatic.com/p_e/ISrh6utdngaqj81000000000.jpg
"$250,000","985 Woodvalley Dr, Canton, GA 30115",3,2,"1,376",https://photos.zillowstatic.com/p_e/ISv4zmqq2eftq31000000000.jpg
"$208,000","1561 Deerwood Ln, Acworth, GA 30102",3,2,"1,513",https://photos.zillowstatic.com/p_e/IS7arpjdyj9b8p0000000000.jpg
"$230,000","200 Oakleaf Dr, Acworth, GA 30102",3,3,"1,943","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$350,000","152 Edgewater Trl, Canton, GA 30115",4,3,"2,948","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
$1.55M,"300 Tellico Rd, Canton, GA 30115",6,7,"7,422","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$530,000","120 Lathems Mill Ln, Ball Ground, GA 30107",4,4,"3,741","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$265,000","143 River Marsh Ln, Woodstock, GA 30188",Studio,--,"1,815","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$246,000","111 Plumeria St, Canton, GA 30114",4,3,"2,010",N/A
"$337,080","227 Gallant Fox Way #27, Acworth, GA 30102",5,4,"3,310","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$337,080","227 Gallant Fox Way, Acworth, GA 30102",5,4,"3,409","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$218,000","129 Sunset Ln, Woodstock, GA 30189",3,3,"1,758","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$80,000","201 Ficklen Church Way, Canton, GA 30114",2,1,768,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$254,000","425 Hearthstone Way, Woodstock, GA 30189",5,3,"2,220","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$165,000","14751 Highway 92, Woodstock, GA 30188",3,1,924,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$265,000","1085 Fieldstone Dr, Canton, GA 30114",3,2,"2,344","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
